appid,name,developer,publisher,owners,price,initialprice,discount,ccu,primary_genre
730,Counter-Strike: Global Offensive,Valve,Valve,0,0.0,0,0,1013936,Action
1172470,Apex Legends,Respawn,Electronic Arts,0,0.0,0,0,124262,Action
578080,PUBG: BATTLEGROUNDS,PUBG Corporation,"KRAFTON, Inc.",0,0.0,0,0,314682,Action
1623730,Palworld,Pocketpair,Pocketpair,0,22.49,2999,25,18028,Action
440,Team Fortress 2,Valve,Valve,0,0.0,0,0,43819,Action
1938090,Call of Duty: Modern Warfare II,"Treyarch, Raven Software, Beenox, High Moon Studios, Activision Shanghai, Sledgehammer Games, Infinity Ward, Demonware, Toys for Bob",Activision,0,38.49,6999,45,67419,Action
1063730,New World: Aeternum,Amazon Games,Amazon Games,0,59.99,5999,0,5583,Action
2358720,Black Myth: Wukong,Game Science,Game Science,0,59.99,5999,0,15004,Action
271590,Grand Theft Auto V Legacy,Rockstar North,Rockstar Games,0,0.0,0,0,67851,Action
550,Left 4 Dead 2,Valve,Valve,0,9.99,999,0,25122,Action
304930,Unturned,Smartly Dressed Games,Smartly Dressed Games,0,0.0,0,0,10408,Action
1599340,Lost Ark,Smilegate RPG,Amazon Games,0,0.0,0,0,17355,Action
236390,War Thunder,Gaijin Entertainment,Gaijin Network Ltd,0,0.0,0,0,50478,Action
2246340,Monster Hunter Wilds,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",0,69.99,6999,0,12494,Action
553850,HELLDIVERS 2,Arrowhead Game Studios,PlayStation Publishing LLC,0,39.99,3999,0,53399,Action
230410,Warframe,Digital Extremes,Digital Extremes,0,0.0,0,0,36195,Action
1245620,ELDEN RING,"FromSoftware, Inc.","FromSoftware, Inc., Bandai Namco Entertainment",0,59.99,5999,0,29529,Action
105600,Terraria,Re-Logic,Re-Logic,0,9.99,999,0,24580,Action
2694490,Path of Exile 2,Grinding Gear Games,Grinding Gear Games,0,14.99,2999,50,16727,Action
291550,Brawlhalla,Blue Mammoth Games,Ubisoft,0,0.0,0,0,14169,Action
1085660,Destiny 2,Bungie,Bungie,0,0.0,0,0,24619,Action
359550,Tom Clancy's Rainbow Six Siege,Ubisoft Montreal,Ubisoft,0,19.99,1999,0,51847,Action
252490,Rust,Facepunch Studios,Facepunch Studios,0,39.99,3999,0,143870,Action
552990,World of Warships,Wargaming Group Limited,Wargaming Group Limited,0,0.0,0,0,8518,Action
346110,ARK: Survival Evolved,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC","Studio Wildcard, Snail Games USA",0,9.89,1499,34,22170,Action
242760,The Forest,Endnight Games Ltd,Endnight Games Ltd,0,19.99,1999,0,2892,Action
1491000,War Robots: Frontiers,MY.GAMES,MY.GAMES,0,0.0,0,0,256,Action
238960,Path of Exile,Grinding Gear Games,Grinding Gear Games,0,0.0,0,0,4694,Action
218620,PAYDAY 2,OVERKILL - a Starbreeze Studio.,Starbreeze Entertainment,0,9.99,999,0,27254,Action
291480,Warface: Clutch,MY.GAMES,MY.GAMES,0,0.0,0,0,270,Action
901583,Grand Theft Auto IV: Complete Edition,"Rockstar North, Rockstar Toronto",Rockstar Games,0,0.0,0,0,0,Action
899770,Last Epoch,Eleventh Hour Games,Eleventh Hour Games,0,34.99,3499,0,5831,Action
340,Half-Life 2: Lost Coast,Valve,Valve,0,19.99,1999,0,2,Action
381210,Dead by Daylight,Behaviour Interactive Inc.,Behaviour Interactive Inc.,0,19.99,1999,0,44886,Action
990080,Hogwarts Legacy,Avalanche Software,Warner Bros. Games,0,8.99,5999,85,5716,Action
1097150,Fall Guys: Ultimate Knockout,Mediatonic,Ravenscourt,0,0.0,0,0,664,Action
49520,Borderlands 2,"Gearbox Software, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",0,19.99,1999,0,8551,Action
892970,Valheim,Iron Gate AB,Coffee Stain Publishing,0,19.99,1999,0,14439,Action
739630,Phasmophobia,Kinetic Games,Kinetic Games,0,19.99,1999,0,9978,Action
444090,Paladins,Evil Mojo Games,Hi-Rez Studios,0,0.0,0,0,1028,Action
1203220,NARAKA: BLADEPOINT,24 Entertainment,NetEase Games Global,0,0.0,0,0,66954,Action
